Coefficient	Estimate	Std. Error	df	t value	Pr(>|t|)
Intercept	10.49784	3.82196	13.48579	2.747	0.016188*
Previous year precipitation	7.33466	1.99290	44.11544	3.680	0.000631***
Aspect, N	-6.99079	5.97868	22.87368	-1.169	0.254329
Aspect, S	-11.19915	4.72672	23.41969	-2.369	0.026427*
Aspect, SW	-9.98472	6.45741	26.73857	-1.546	0.133802
Aspect, W	-11.23305	4.43792	21.43132	-2.531	0.019246*
Plot slope	3.22815	1.59507	34.49457	2.024	0.050788
Change in shrub cover	-1.67363	1.77546	102.86844	-0.943	0.348071
Change in herb cover	2.09712	1.89206	109.30705	1.108	0.270131
Initial BG density	-0.88507	1.75434	61.44016	-0.505	0.615711
Initial shrub cover	-1.44194	1.77203	106.07076	-0.814	0.417627
Initial herb cover	2.22733	1.86387	57.83920	1.195	0.236963
Change in shrub cover * Previous year precip	0.69379	1.88062	109.88566	0.369	0.712901
Change in herb cover * Previous year precip	0.03172	1.60010	88.35380	0.020	0.984229
