PRISM Time Series Data
Location:  Lat: 32.1916   Lon: -110.6963   Elev: 1059m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2022-12-15 - 2023-12-15
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Apr-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2022-12-15,0.00,-0.1,4.9,9.8
2022-12-16,0.00,-0.6,5.7,12.1
2022-12-17,0.00,1.5,7.3,13.1
2022-12-18,0.00,0.0,7.8,15.7
2022-12-19,0.00,3.1,9.7,16.3
2022-12-20,0.00,2.7,9.5,16.2
2022-12-21,0.00,1.0,9.2,17.5
2022-12-22,0.00,2.5,10.4,18.3
2022-12-23,0.00,2.5,10.3,18.2
2022-12-24,0.00,2.8,10.7,18.6
2022-12-25,0.00,5.5,12.8,20.0
2022-12-26,0.00,2.9,11.9,20.9
2022-12-27,0.00,5.4,14.9,24.3
2022-12-28,0.00,10.0,17.0,23.9
2022-12-29,5.05,11.8,13.1,14.3
2022-12-30,7.78,7.2,11.7,16.2
2022-12-31,0.00,4.8,10.1,15.5
2023-01-01,0.00,4.9,12.3,19.7
2023-01-02,7.61,4.3,9.9,15.5
2023-01-03,1.83,5.0,7.4,9.9
2023-01-04,0.00,4.3,9.0,13.8
2023-01-05,0.00,3.8,10.8,17.8
2023-01-06,0.00,4.7,12.2,19.7
2023-01-07,0.00,4.0,11.2,18.3
2023-01-08,0.00,2.7,12.0,21.3
2023-01-09,0.00,3.6,12.7,21.8
2023-01-10,0.00,2.9,12.5,22.1
2023-01-11,0.00,6.7,14.5,22.3
2023-01-12,0.00,3.1,9.8,16.4
2023-01-13,0.00,3.2,12.5,21.7
2023-01-14,0.00,6.7,15.5,24.3
2023-01-15,0.00,6.8,14.6,22.5
2023-01-16,37.29,8.9,11.0,13.1
2023-01-17,22.03,7.9,9.5,11.2
2023-01-18,1.71,2.5,6.7,11.0
2023-01-19,0.00,0.3,5.8,11.3
2023-01-20,0.00,-1.1,7.0,15.1
2023-01-21,0.00,-1.6,4.6,10.9
2023-01-22,0.00,-2.5,4.6,11.8
2023-01-23,0.00,-2.2,7.2,16.5
2023-01-24,0.00,-3.2,1.4,6.1
2023-01-25,0.00,-3.9,3.2,10.2
2023-01-26,0.00,-2.6,5.5,13.5
2023-01-27,0.00,-1.8,5.6,13.0
2023-01-28,0.00,-1.3,7.9,17.2
2023-01-29,0.00,1.8,10.1,18.3
2023-01-30,0.00,0.7,9.9,19.1
2023-01-31,0.00,1.0,9.1,17.2
2023-02-01,0.00,2.0,8.5,15.0
2023-02-02,0.00,1.1,8.3,15.4
2023-02-03,0.00,3.6,10.5,17.5
2023-02-04,0.00,7.2,14.0,20.8
2023-02-05,0.00,6.5,15.4,24.3
2023-02-06,0.00,5.8,15.5,25.1
2023-02-07,0.00,1.0,8.1,15.2
2023-02-08,0.00,1.0,7.7,14.5
2023-02-09,0.00,2.1,9.3,16.4
2023-02-10,0.00,1.8,9.7,17.7
2023-02-11,0.00,6.3,12.1,18.0
2023-02-12,0.00,7.7,13.4,19.0
2023-02-13,0.00,1.7,13.1,24.4
2023-02-14,4.70,1.5,6.4,11.4
2023-02-15,4.53,0.2,7.2,14.3
2023-02-16,0.00,-2.2,2.8,7.8
2023-02-17,0.00,-0.3,5.5,11.3
2023-02-18,0.00,1.8,8.3,14.9
2023-02-19,0.00,9.9,15.9,21.8
2023-02-20,0.73,10.7,14.3,17.8
2023-02-21,0.00,10.5,15.1,19.7
2023-02-22,8.18,9.7,13.0,16.3
2023-02-23,9.31,7.1,8.5,9.9
2023-02-24,0.00,2.7,8.3,13.8
2023-02-25,0.00,3.1,11.9,20.8
2023-02-26,3.00,7.7,15.5,23.2
2023-02-27,4.56,0.1,5.6,11.0
2023-02-28,0.00,-0.5,8.2,16.9
2023-03-01,0.00,2.7,9.9,17.1
2023-03-02,10.68,1.8,9.0,16.1
2023-03-03,0.00,-1.6,3.1,7.7
2023-03-04,0.00,-1.1,6.7,14.5
2023-03-05,0.00,1.8,11.6,21.4
2023-03-06,0.00,6.3,13.9,21.5
2023-03-07,0.00,7.0,14.6,22.3
2023-03-08,0.00,9.4,15.8,22.2
2023-03-09,0.00,7.2,15.1,23.0
2023-03-10,0.00,6.2,14.4,22.6
2023-03-11,0.00,7.7,16.4,25.2
2023-03-12,0.00,10.8,16.8,22.9
2023-03-13,0.00,8.3,15.3,22.4
2023-03-14,0.00,8.9,15.9,22.9
2023-03-15,0.00,8.6,16.8,24.9
2023-03-16,5.58,12.5,16.0,19.5
2023-03-17,1.88,9.1,12.8,16.5
2023-03-18,0.00,6.4,12.9,19.4
2023-03-19,0.00,6.9,13.3,19.7
2023-03-20,0.00,10.0,15.1,20.1
2023-03-21,0.00,10.9,16.5,22.1
2023-03-22,0.00,12.9,16.8,20.7
2023-03-23,1.79,7.3,12.2,17.1
2023-03-24,0.00,4.7,10.5,16.4
2023-03-25,0.00,3.8,10.0,16.2
2023-03-26,0.00,3.8,11.2,18.6
2023-03-27,0.00,4.2,11.2,18.2
2023-03-28,0.00,3.2,12.0,20.8
2023-03-29,0.00,6.1,16.4,26.7
2023-03-30,0.00,8.2,17.4,26.6
2023-03-31,0.00,6.9,12.2,17.6
2023-04-01,0.00,2.9,11.6,20.3
2023-04-02,0.00,4.6,15.8,27.0
2023-04-03,0.00,6.1,15.9,25.7
2023-04-04,0.00,6.2,16.4,26.7
2023-04-05,0.00,-0.4,6.7,13.9
2023-04-06,0.00,-0.1,8.9,17.9
2023-04-07,0.00,2.5,14.0,25.6
2023-04-08,0.00,5.8,16.6,27.4
2023-04-09,0.00,7.1,17.4,27.6
2023-04-10,0.00,8.0,18.6,29.2
2023-04-11,0.00,9.8,21.8,33.7
2023-04-12,0.00,14.8,24.7,34.7
